,OBJECTID,IMPROVEMEN,DAMAGE,HOME_OWNER,SQUARE_FOO,income_indiv,home_ins,fin_asset,geometry,dollar_needed,balance,insurance,fema,sba,cdbg,bank,ngo,param,insurance_time,fema_time,sba_time,cdbg_time,bank_time,ngo_time,param_time,total_time,cdbg_tier,savings,cons_time,cons_start,cons_finish
14570,426601,92644,1,H,1113,135651.3173350104,92644.0,327183.0,0,185.288,0.0,0.0,0.0,0.0,0.0,185.288,0.0,0,0.0,0.0,0.0,0.0,32.70226863139406,0.0,0,32.70226863139406,4,0.0,1.9231088272961805,32.70226863139406,34.625377458690245
14571,426673,36006,1,H,1353,224596.5135025165,36006.0,528305.0,0,72.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,72.012,1.4108996621269325,0.0,1.4108996621269325
14572,426675,330883,1,H,1289,99687.11062228284,245929.8,528305.0,0,661.766,0.0,0.0,0.0,0.0,0.0,661.766,0.0,0,0.0,0.0,0.0,0.0,230.03768624605644,0.0,0,230.03768624605644,4,0.0,2.5877396183302603,230.03768624605644,232.6254258643867
14573,426680,297253,1,H,1226,108011.21762124726,226657.21,283038.0,0,594.506,0.0,0.0,0.0,266.933194,0.0,327.57280599999996,0.0,0,0.0,0.0,35.41962076904875,0.0,50.985528085859826,0.0,0,86.40514885490857,4,0.0,2.3689324509731557,86.40514885490857,88.77408130588174
14574,426684,161540,1,H,1137,95243.31148196668,161540.0,528305.0,0,323.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,323.08,1.1225817254221984,0.0,1.1225817254221984
14575,426699,267380,1,H,2029,263367.3555858136,262132.21,850741.0,0,534.76,0.0,0.0,0.0,0.0,0.0,534.76,0.0,0,0.0,0.0,0.0,0.0,64.68691264178207,0.0,0,64.68691264178207,4,0.0,1.4010469527271072,64.68691264178207,66.08795959450919
14576,426701,64380,2,H,1393,49265.51839927499,64380.0,423067.0,0,6438.0,6438.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,30.2393253570092,,
14577,426702,246200,1,H,1652,84877.09523465874,246200.0,423067.0,0,492.40000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,492.40000000000003,2.1188875341103635,0.0,2.1188875341103635
14578,426703,155971,2,H,1393,58872.64301005908,155971.0,309599.0,0,15597.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,15597.1,22.801258408086127,0.0,22.801258408086127
14579,426707,243101,1,H,912,62501.41556911336,243101.0,423067.0,0,486.202,0.0,0.0,0.0,218.304698,0.0,267.89730199999997,0.0,0,0.0,0.0,24.42010352866011,0.0,67.30106460430466,0.0,0,91.72116813296476,2,0.0,2.1633920569398657,91.72116813296476,93.88456018990463
14580,426718,292561,2,H,1625,31182.42396479973,235995.93,355494.0,0,29256.100000000002,29256.100000000002,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,29.549245994638643,,
14581,426732,248208,1,H,1128,37309.94883538543,232900.26,373104.0,0,496.416,496.416,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,2.375367202226244,,
14582,426740,177851,2,H,1182,39944.19080492463,177851.0,606409.0,0,17785.100000000002,17785.100000000002,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,25.93069166249808,,
14583,426742,133858,2,H,1106,127809.97323022176,133858.0,606409.0,0,13385.800000000001,0.0,0.0,0.0,6010.224200000001,0.0,7375.5758000000005,0.0,0,0.0,0.0,31.02463069000689,0.0,39.06750747999391,0.0,0,70.0921381700008,4,0.0,36.421221613194035,70.0921381700008,106.51335978319483
